問題,標準答案,LLM答案,LLM答案路徑
根據薪工循環規範，期貨商的內部稽核人員應具備何種專業資格？,內部稽核人員應具備期貨商負責人及業務員管理規則所定資格條件；若為分支機構自行查核人員，並應完成相關內部稽核講習。,根據提供的參考資料，期貨商的內部稽核人員應具備期貨業務員資格。没有提及其他專業資格要求。,"2.FCM內控CA---壹、業務及收入循環 ---114.04.md |  | p.None-None | table_chunk | table_id=2.FCM內控CA---壹、業務及收入循環 ---114.04_table_102,row=1,col=3,chunk=7 || 2.FCM內控CA---壹、業務及收入循環 ---114.04.md |  | p.None-None | table_chunk | table_id=2.FCM內控CA---壹、業務及收入循環 ---114.04_table_103,row=1,col=3,chunk=1 || 財團法人中華民國證券櫃檯買賣中心證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法1090120.md |  | p.None-None | table_chunk | table_id=財團法人中華民國證券櫃檯買賣中心證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法1090120_table_5,row=2,col=1,chunk=3"
在訂定業務人員的酬金制度時，應衡平考量哪些因素，且不得僅考量何種情形？,應衡平考量客戶權益與金融商品或服務對公司及客戶可能產生的各項風險；不得僅考量業績目標達成情形。,在訂定業務人員的酬金制度時，應衡平考量的因素包括客戶權益和金融商品或服務對公司及客戶可能產生的各項風險。根據參考資料，不得僅考慮金融商品或服務的業績目標達成情形。此外，還需遵守《貨幣公會》對於會員公司業務人員酬金制度的要求。,"4.FCM內控CW---參 、薪工循環---114.04.md |  | p.None-None | table_chunk | table_id=4.FCM內控CW---參 、薪工循環---114.04_table_9,row=1,col=3,chunk=4 || 4.FCM內控CW---參 、薪工循環---114.04.md |  | p.None-None | table_chunk | table_id=4.FCM內控CW---參 、薪工循環---114.04_table_9,row=1,col=3,chunk=3 || 4.FCM內控CW---參 、薪工循環---114.04.md |  | p.None-None | table_chunk | table_id=4.FCM內控CW---參 、薪工循環---114.04_table_9,row=1,col=2,chunk=1"
期貨商辦理增（減）資案時，其作業程序應向哪個主管機關申報生效？,應依規定向主管機關申報生效。,"根據提供的參考資料，期貨商辦理增（減）資案時應向以下主關機關申報生效：

- 業務及收入循環相關事宜需由公司向期貨公會申報生效。

因此，增（減）資案的申報程序涉及與期貨公會進行互動。","9.FCM內控CM---捌、管理控制制度---114.04.md |  | p.None-None | table_chunk | table_id=9.FCM內控CM---捌、管理控制制度---114.04_table_11,row=1,col=3,chunk=6 || 2.FCM內控CA---壹、業務及收入循環 ---114.04.md |  | p.None-None | table_chunk | table_id=2.FCM內控CA---壹、業務及收入循環 ---114.04_table_201,row=1,col=3,chunk=7 || 2.FCM內控CA---壹、業務及收入循環 ---114.04.md |  | p.None-None | table_chunk | table_id=2.FCM內控CA---壹、業務及收入循環 ---114.04_table_56,row=1,col=3,chunk=7"
根據規範，期貨商提存「特別盈餘公積」的比例為何？其用途有何限制？,應於每年稅後盈餘項下提存20% 特別盈餘公積；除填補公司虧損，或累積已達實收資本額 25% 時，得以超過 25% 之部分撥充資本外，不得使用。,"根據參考資料1和3的資訊，法規對於特別盈餘公積的比例及用途有如下規定：

特別盈餘公積的比例為20%，但若有累計金額已達到公司實收資本額時，則可以免繼續提存。此外，根據參考資料2的信息，自2018年度起，在每年分派盈餘時還需另外提列特別盈餘公積，範圍為稅後淨利的0.5%至1%之間。

對於特別盈餘公積的用途，參考資料並未詳細說明。因此，無法確定其用途是否有限制。","5.FCM內控CR---肆、融資循環---114.04.md |  | p.None-None | table_chunk | table_id=5.FCM內控CR---肆、融資循環---114.04_table_1,row=1,col=3,chunk=4 || 5.FCM內控CR---肆、融資循環---114.04.md |  | p.None-None | table_chunk | table_id=5.FCM內控CR---肆、融資循環---114.04_table_2,row=1,col=3,chunk=1 || 5.FCM內控CR---肆、融資循環---114.04.md |  | p.None-None | table_chunk | table_id=5.FCM內控CR---肆、融資循環---114.04_table_1,row=1,col=3,chunk=3"
取得或增添不動產及設備時，若對公司營運有重大影響，其決策程序有何特別要求？,若對公司營運有重大影響，應依公司法第185條辦理，由有三分之二以上董事出席之董事會，以出席董事過半數決議提出，並經代表已發行股份總數三分之二股東出席之股東會，以出席股東表決權過半數同意。,"根據提供的參考資料，若取用或增加不動產及設備對公司營運有重大影響，其決策程序的要求如下：

1. 依據增置財產計劃編製預算。
2. 按照預算執行。
3. 在取得或增添不動產及設備時，應依相關作業程序辦理 (請參閱CP-20000採購及付款循環)。

此外，還需遵守以下規定：
4. 取得或增加的不動產及設備需要進行評估。
5. 結合上述規定，進行必要的審核和批准流程。","6.FCM內控CF---伍、不動產及設備循環---114.04.md |  | p.None-None | table_chunk | table_id=6.FCM內控CF---伍、不動產及設備循環---114.04_table_2,row=1,col=2,chunk=1 || 6.FCM內控CF---伍、不動產及設備循環---114.04.md |  | p.None-None | table_chunk | table_id=6.FCM內控CF---伍、不動產及設備循環---114.04_table_1,row=1,col=2,chunk=1 || 6.FCM內控CF---伍、不動產及設備循環---114.04.md |  | p.None-None | table_chunk | table_id=6.FCM內控CF---伍、不動產及設備循環---114.04_table_1,row=1,col=3,chunk=1"
針對不動產及設備的盤點作業，規範要求應如何執行並呈報結果？,規範要求公司應在財產管理規章中明定盤點程序，內容至少包括盤點程序、盤點表單及結果處理程序；也就是應依既定程序執行盤點、填具表單，並就盤點結果進行後續處理與管理。,"針對不動產及設備的盤點作業，規範要求應如何執行並呈報結果如下：

1. 運行定期盤點程序：根據《6.FCM內控CF---伍、不動產及設備循環---114.04.md》，規定應不定期依訂定之盤點程序對不動產及設備進行盤點。
2. 將盤點結果呈報權責主管核示：對於不動產及設備的盤點結果，必須將其呈報給權責主管以供核示。
3. 如有損壞或遺失情況，應調查並呈報：如果發現有人為故意損壞或遺失的情況，保管單位需要進行調查並將處理報告呈報給權責主管。","6.FCM內控CF---伍、不動產及設備循環---114.04.md |  | p.None-None | table_chunk | table_id=6.FCM內控CF---伍、不動產及設備循環---114.04_table_4,row=1,col=2,chunk=1 || 6.FCM內控CF---伍、不動產及設備循環---114.04.md |  | p.None-None | table_chunk | table_id=6.FCM內控CF---伍、不動產及設備循環---114.04_table_4,row=1,col=3,chunk=4 || 金融機構資訊系統安全基準.md |  | p.None-None | table_chunk | table_id=金融機構資訊系統安全基準_table_28,row=19,col=4,chunk=1"
根據期貨商管理規則，期貨商自有資金的運用範圍主要限於哪些項目？,限於：銀行存款、購買政府債券或金融債券、購買國庫券/可轉讓定存單/商業票據或其他經主管機關核定之短期票券、以及其他經主管機關核准之用途。,"根據參考資料1，期貨商自有資金的運用範圍主要限於以下項目：

1. 銀行存款。
2. 購買政府債券或金融債券。
3. 購買國庫券、可轉讓銀行定存單、商業票據或其他經主管機關核定之短期票券。
4. 其他經主管機關核准之用途。","7.FCM內控CI---陸、投資循環---114.04.md |  | p.None-None | table_chunk | table_id=7.FCM內控CI---陸、投資循環---114.04_table_1,row=1,col=3,chunk=1 || 財團法人中華民國證券櫃檯買賣中心證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法1090120.md |  | p.None-None | table_chunk | table_id=財團法人中華民國證券櫃檯買賣中心證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法1090120_table_7,row=6,col=2,chunk=1 || 7.FCM內控CI---陸、投資循環---114.04.md |  | p.None-None | table_chunk | table_id=7.FCM內控CI---陸、投資循環---114.04_table_11,row=1,col=3,chunk=1"
在進行重大長短期股權投資決策前，公司應成立什麼組織來進行可行性評估研究？,應先成立投資評估小組，針對投資企劃部門初步選定之投資組合或項目進行投資評估研究。,公司在進行重大長短期股權投資決策前，應成立「投資評估小組」來進行可行性評估研究。,"7.FCM內控CI---陸、投資循環---114.04.md |  | p.None-None | table_chunk | table_id=7.FCM內控CI---陸、投資循環---114.04_table_1,row=1,col=3,chunk=3 || 7.FCM內控CI---陸、投資循環---114.04.md |  | p.None-None | table_chunk | table_id=7.FCM內控CI---陸、投資循環---114.04_table_1,row=1,col=3,chunk=2 || 7.FCM內控CI---陸、投資循環---114.04.md |  | p.None-None | table_chunk | table_id=7.FCM內控CI---陸、投資循環---114.04_table_1,row=1,col=3,chunk=4"
針對「資訊安全政策」，規範要求公司應至少多久評估一次？,應至少每年評估一次，以反映法令、技術及業務最新發展，並留存相關紀錄。,根據參考資料3，關於「資訊安全政策」的要求是公司應至少每年評估一次，以反映最新的法令規章、技術及業務等情況。因此，對於「資訊安全政策」的特定評估頻率問題，目前的資料不足以回答，請參閱資料3中關於資訊安全政策的評估頻率要求為每年一次。,"保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 ).md | 23.10.1.2 | p.10-11 | table_chunk | table_id=保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 )_table_1,row=3,col=3,chunk=1 || 保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 ).md | 23.10.1.2 | p.10-11 | table_chunk | table_id=保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 )_table_1,row=2,col=3,chunk=1 || 建立期貨商資通安全檢查機制_所有條文.md | 第2條 > 2、 > (4) | p.1-1 | all_node | node=(4)"
在電腦作業系統環境設定中，對於「使用者密碼」的管理（如長度、更新期限）有哪些具體要求？,依你們目前上傳檔案，可明確支持的是：公司應建立電腦系統安全管理制度，並對使用者密碼進行管理。至於「長度、更新期限」這題，這批已上傳的期貨商內控 PDF 搜得到的是政策性要求，未直接顯示具體數字門檻；因此較保守的標準答案是：應建立密碼管理機制，對密碼設定、使用與維護進行控管，確保資訊安全。,"根據提供的參考資料，對於「使用者密碼」的管理有以下具體要求：

1. 密碼長度：至少8位（保險業規定），6-7位（金融機構規定）。
2. 密碼內容建議包含英數字混合使用或符號，且宜含大小寫字母。
3. 以最小權限原則針對不同的使用者身份進行授權。

不同文件對密碼的具體要求存在差異。","金融機構使用物聯網設備安全控管規範_1100430.md | 第五條 | p.1-1 | all_node | node=第五條 || 8.FCM內控CC---柒、電腦作業與資訊提供---114.04.md |  | p.None-None | table_chunk | table_id=8.FCM內控CC---柒、電腦作業與資訊提供---114.04_table_19,row=1,col=3,chunk=6 || 保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 ).md | 第 22 條 > 五、 | p.21-21 | all_node | node=五、"
在印鑑使用管理中，對於公務文書有數頁者，應採取什麼措施以防抽換？,應於各頁加蓋騎縫章，以防文件遭抽換。,在同一案件的公務文書有數頁者，應在各頁加蓋騎縫章，以防抽換。,"9.FCM內控CM---捌、管理控制制度---114.04.md |  | p.None-None | table_chunk | table_id=9.FCM內控CM---捌、管理控制制度---114.04_table_1,row=1,col=2,chunk=1 || 9.FCM內控CM---捌、管理控制制度---114.04.md |  | p.None-None | table_chunk | table_id=9.FCM內控CM---捌、管理控制制度---114.04_table_1,row=1,col=3,chunk=3 || 金融機構資訊系統安全基準.md | 參、 > (陸) > 三、 > (三) > 2、 | p.376-376 | all_node | node=2、"
針對「關係人交易之管理」，公司應如何辨識關係人並確保交易符合公平合理原則？,公司應依IAS 24 與期貨商財務報告編製準則明確定義關係人、建檔控管並定期評估增減；對關係企業或關係人交易，應本於公平合理原則訂定書面規範，明定價格條件與支付方式，杜絕非常規交易與利益輸送。,"針對「關係人交易之管理」，公司應按照以下方式進行：

一、關係人的辨識與維護程序：依據國際會計準則第二十四號規定及期貨商財務報告編製準則的相關規定，明確界定哪些是關係人。並建立檔案進行管控和定期評估是否有新的關係人加入或現有關係人的狀態有所變化。

二、關係人交易管理：
公司應遵循相關法律法規，建立健全的內部控制制度，監控與關係人之間的交易活動，確保所有交易符合公平合理原則，防止利益傾斜。","9.FCM內控CM---捌、管理控制制度---114.04.md |  | p.None-None | table_chunk | table_id=9.FCM內控CM---捌、管理控制制度---114.04_table_36,row=1,col=2,chunk=1 || 9.FCM內控CM---捌、管理控制制度---114.04.md |  | p.None-None | table_chunk | table_id=9.FCM內控CM---捌、管理控制制度---114.04_table_35,row=1,col=2,chunk=1 || 9.FCM內控CM---捌、管理控制制度---114.04.md |  | p.None-None | table_chunk | table_id=9.FCM內控CM---捌、管理控制制度---114.04_table_35,row=1,col=3,chunk=1"
根據此規範，證券商提供的「電子式交易登入」安全設計應具備哪三項技術中之任兩項？,三項技術為：(1) 證券商與客戶約定、且無第三人知悉之資訊（如固定密碼、圖形鎖、手勢）；(2) 客戶持有之實體設備（如密碼卡、晶片卡、電腦、行動裝置、憑證載具等）；(3) 客戶所擁有之生物特徵（如指紋、臉部、虹膜、聲音、掌紋、靜脈、簽名等）。系統需具備上述任兩項以上。,"根據提供的參考資料，證券商提供的「電子式交易登入」安全設計應具備的三項技術中任兩項為：

1. 證券商所約定之資 訊，且無第三人知悉（如固定密碼、圖形鎖或手勢等）。

此回答是基於[參考資料2]中的描述，該資料明確指出證券公司應具備的技術至少包括其中兩項。","1110921新興科技資通安全自律規範及修正對照表.md | 第九條 | p.4-4 | all_node | node=第九條 || 1110921新興科技資通安全自律規範及修正對照表.md | 12 | p.5-22 | table_chunk | table_id=1110921新興科技資通安全自律規範及修正對照表_table_19,row=2,col=1,chunk=1 || 「新興科技資通安全自律規範」完整條文-114.05.md | 第九條 | p.5-5 | all_node | node=第九條"
針對「深度偽造（Deepfake）」之防範，證券商在進行影像視訊身分驗證時應如何強化？,依目前上傳檔案可直接支持的內容，規範先明確定義 Deepfake 為以科技合成真實人物未實際發生之影像、聲音等內容；因此在影像視訊驗證上，應採取較高強度的身分驗證與來源辨識措施，避免僅憑單一影像資料判斷，並搭配電子式交易驗證控管。這一題在已上傳檔案中較偏原則性，而非列出單一固定流程。,證券商在進行影像視訊身分驗證時，應強化驗證流程，並宜定期舉辦涵蓋深度偽造認知及防範議題的安全教育訓練。,"1110921新興科技資通安全自律規範及修正對照表.md | 第十條 | p.5-5 | all_node | node=第十條 || 1110921新興科技資通安全自律規範及修正對照表.md | 12 | p.5-22 | table_chunk | table_id=1110921新興科技資通安全自律規範及修正對照表_table_21,row=1,col=1,chunk=1 || 「新興科技資通安全自律規範」完整條文-114.05.md | 第十條 | p.6-6 | all_node | node=第十條"
規範中定義的「復原時間目標（RTO）」與「資料復原點目標（RPO）」分別代表什麼意義？,RTO 是指中斷事故發生後，核心系統從中斷到回復至最小可接受服務水準的目標時間；RPO 是指中斷事故發生時，核心系統可承受的資料損失量所對應、可被回復的最近時間點。,"規範中的「複原時間目標（RTO）」代表在發生重大事件時，核心系統能夠恢復運作的最短時間。

「資料復原點目標（RPO）」則表示在發生中斷事故後，可以容忍的最大數據損失量。换句话说，在遭遇故障后，從最近一次完整資料存儲點倒回以恢復系統的功能所需要的数据丢失範圍。",中華民國證券商業同業公會資訊作業韌性自律規範.md | 第二條 > 六、 | p.1-1 | all_node | node=六、 || 金融機構資訊作業韌性規範_20240521.md | 第六條 > 三、 | p.2-3 | all_node | node=三、 || 中華民國期貨業商業同業公會「資訊作業韌性自律規範」完整條文.md | 第二條 > 六、 | p.1-1 | all_node | node=六、
