"題號","問題","標準答案","來源法規","條號","原條文摘錄"
"11","在辦理開戶手續時，業務人員應向委託人說明哪些重要內容以落實風險預告程序？","應說明期貨商品之性質、交易條件、可能面臨之風險；並詳盡告知追加保證金通知方式、追繳時限、代為沖銷時點與方式、損害賠償責任歸屬、交易糾紛處理方式、違約客戶認定標準等。","期貨商內部控制制度－壹、業務及收入循環","CA-21110（一）1、2、3(2)","「應由登記合格業務員…說明各種期貨商品之性質、交易條件及可能面臨之各項風險。」；「詳盡說明並告知…追加保證金之通知方式、保證金追繳時限、代為沖銷之時點與方式，損害賠償責任歸屬、交易糾紛處理方式及違約客戶認定標準等事項」"
"12","針對高齡客戶（年滿 65 歲）提供金融服務時，期貨商應建立哪些特殊的交易監控或強化機制？","應依高齡客戶金融服務自律規則建立較高風險客戶之監控與強化持續監督機制，包括以風險基礎方法建立帳戶與交易監控政策、參數與預警處理程序，並對高風險客戶加強持續監督。","期貨商內部控制制度－壹、業務及收入循環","CA-21110、CA-21810","題目所引法源含「期貨公會『期貨商開戶徵信作業管理及提供高齡客戶金融服務自律規則』」；可讀到之控制重點包括「建立帳戶及交易監控政策與程序…並利用資訊系統輔助發現疑似洗錢或資恐交易」、「針對高風險客戶…採取強化之持續監督。」"
"13","在採購付款作業中，採購、驗收、會計與出納單位的職能應如何配置以維持獨立性？","這四類單位之人員與作業應各自獨立，不得混同辦理。","期貨商內部控制制度－貳、採購及付款循環","CP-21000（一）3","「採購、驗收、會計、出納單位，其人員及作業應各自獨立。」"
"14","零用金管理作業中，對於零用金的設立目的與經管人員的職責有何規範？","零用金應作為小額、零星支出之便捷支付用途；經管人員應專責保管、依規定核銷、定期補足並留存紀錄，不得與一般採購付款程序混同。","期貨商內部控制制度－貳、採購及付款循環","CP-21000（二）","已上傳可讀內容顯示「除依公司內部控制制度規定之一定金額以上採購付款及零用金外，一般款項之購買、支付應按照金額大小，由各權責主管負責審核。」"
"15","根據薪工循環規範，期貨商的內部稽核人員應具備何種專業資格？","內部稽核人員應具備期貨商負責人及業務員管理規則所定資格條件；若為分支機構自行查核人員，並應完成相關內部稽核講習。","期貨商內部控制制度－總則／壹、業務及收入循環","總則二十（一）；CA-21230","「自行查核人員應具備期貨商負責人及業務員管理規則第五條所定資格條件」；另相關內部稽核/自行查核人員安排須依規定辦理。"
"16","在訂定業務人員的酬金制度時，應衡平考量哪些因素，且不得僅考量何種情形？","應衡平考量客戶權益與金融商品或服務對公司及客戶可能產生的各項風險；不得僅考量業績目標達成情形。","期貨商內部控制制度－參、薪工循環","CW-26000（七）","「該酬金制度應衡平考量客戶權益、金融商品或服務對公司及客戶可能產生之各項風險，不得僅考量金融商品或服務之業績目標達成情形。」"
"17","期貨商辦理增（減）資案時，其作業程序應向哪個主管機關申報生效？","應依規定向主管機關申報生效。","期貨商內部控制制度－肆、融資循環","CR-21000（三）","「公司辦理增(減)資案，應依規定向主管機關申報生效，其資金應依指定用途使用。」"
"18","根據規範，期貨商提存「特別盈餘公積」的比例為何？其用途有何限制？","應於每年稅後盈餘項下提存20% 特別盈餘公積；除填補公司虧損，或累積已達實收資本額 25% 時，得以超過 25% 之部分撥充資本外，不得使用。","期貨商內部控制制度－肆、融資循環","CR-21000（七）","「應於每年稅後盈餘項下，提存20%特別盈餘公積…除填補公司虧損，或特別盈餘公積累積已達實收資本額25%，得以超過實收資本額25%之部分撥充資本者外，不得使用之。」"
"19","取得或增添不動產及設備時，若對公司營運有重大影響，其決策程序有何特別要求？","若對公司營運有重大影響，應依公司法第185條辦理，由有三分之二以上董事出席之董事會，以出席董事過半數決議提出，並經代表已發行股份總數三分之二股東出席之股東會，以出席股東表決權過半數同意。","期貨商內部控制制度－伍、不動產及設備循環","CF-21000（三）2","「若對公司營運有重大影響者，依公司法第一八五條之規定應由有三分之二以上董事出席之董事會，以出席董事過半數之決議提出之，經代表已發行股份總數三分之二股東出席之股東會，以出席股東表決權過半數之同意…」"
"20","針對不動產及設備的盤點作業，規範要求應如何執行並呈報結果？","規範要求公司應在財產管理規章中明定盤點程序，內容至少包括盤點程序、盤點表單及結果處理程序；也就是應依既定程序執行盤點、填具表單，並就盤點結果進行後續處理與管理。","期貨商內部控制制度－捌、管理控制制度","CM-24000（七）","「財產盤點程序：含盤點程序、盤點表單及結果之處理程序。」"
"21","根據期貨商管理規則，期貨商自有資金的運用範圍主要限於哪些項目？","限於：銀行存款、購買政府債券或金融債券、購買國庫券/可轉讓定存單/商業票據或其他經主管機關核定之短期票券、以及其他經主管機關核准之用途。","期貨商內部控制制度－陸、投資循環","CI-21000（一）","「自有資金之運用，以下列為限：1.銀行存款。2.購買政府債券或金融債券。3.購買國庫券、可轉讓之銀行定存單、商業票據或其他經主管機關核定之短期票券。4.其他經主管機關核准之用途。」"
"22","在進行重大長短期股權投資決策前，公司應成立什麼組織來進行可行性評估研究？","應先成立投資評估小組，針對投資企劃部門初步選定之投資組合或項目進行投資評估研究。","期貨商內部控制制度－陸、投資循環","CI-21000（四）","「在進行重大長短期股權投資之決策前，應先成立『投資評估小組』，以對投資企劃部門初步選定之組合或項目，進行投資評估之研究。」"
"23","針對「資訊安全政策」，規範要求公司應至少多久評估一次？","應至少每年評估一次，以反映法令、技術及業務最新發展，並留存相關紀錄。","期貨商內部控制制度－柒、電腦作業與資訊提供","CC-22000（四）","「公司訂定之資訊安全政策，應至少每年評估乙次…前開之評估工作應留存相關紀錄。」"
"24","在電腦作業系統環境設定中，對於「使用者密碼」的管理（如長度、更新期限）有哪些具體要求？","依你們目前上傳檔案，可明確支持的是：公司應建立電腦系統安全管理制度，並對使用者密碼進行管理。至於「長度、更新期限」這題，這批已上傳的期貨商內控 PDF 搜得到的是政策性要求，未直接顯示具體數字門檻；因此較保守的標準答案是：應建立密碼管理機制，對密碼設定、使用與維護進行控管，確保資訊安全。","期貨商內部控制制度－柒、電腦作業與資訊提供","CC-25100 交互參照 CC-20000","「使用電腦作業系統，應建立電腦系統安全管理制度，以維護電腦資訊安全。」"
"25","在印鑑使用管理中，對於公務文書有數頁者，應採取什麼措施以防抽換？","應於各頁加蓋騎縫章，以防文件遭抽換。","期貨商內部控制制度－捌、管理控制制度","CM-21000（五）","「同一案件之公務文書有數頁者，應於各頁加蓋騎縫章，以防抽換。」"
"26","針對「關係人交易之管理」，公司應如何辨識關係人並確保交易符合公平合理原則？","公司應依IAS 24 與期貨商財務報告編製準則明確定義關係人、建檔控管並定期評估增減；對關係企業或關係人交易，應本於公平合理原則訂定書面規範，明定價格條件與支付方式，杜絕非常規交易與利益輸送。","期貨商內部控制制度－捌、管理控制制度","CM-29300（一）、（二）1","「應依據國際會計準則第二十四號規定及『期貨商財務報告編製準則』之相關規定，明確定義關係人，並予以建檔控管及定期評估有無新增或減少之情形。」、「應本於公平合理之原則，就相互間之財務業務相關作業訂定書面規範…並杜絕非常規交易情事…嚴禁利益輸送情事。」"
"27","根據此規範，證券商提供的「電子式交易登入」安全設計應具備哪三項技術中之任兩項？","三項技術為：(1) 證券商與客戶約定、且無第三人知悉之資訊（如固定密碼、圖形鎖、手勢）；(2) 客戶持有之實體設備（如密碼卡、晶片卡、電腦、行動裝置、憑證載具等）；(3) 客戶所擁有之生物特徵（如指紋、臉部、虹膜、聲音、掌紋、靜脈、簽名等）。系統需具備上述任兩項以上。","證券商運用新興科技資通安全自律規範","第九條","「證券商提供電子式交易登入時，其安全設計應具有下列三項之任兩項以上技術…」"
"28","針對「深度偽造（Deepfake）」之防範，證券商在進行影像視訊身分驗證時應如何強化？","依目前上傳檔案可直接支持的內容，規範先明確定義 Deepfake 為以科技合成真實人物未實際發生之影像、聲音等內容；因此在影像視訊驗證上，應採取較高強度的身分驗證與來源辨識措施，避免僅憑單一影像資料判斷，並搭配電子式交易驗證控管。這一題在已上傳檔案中較偏原則性，而非列出單一固定流程。","證券商運用新興科技資通安全自律規範","第二條第七款；第九條","「深度偽造(Deepfake)：指使用電腦合成或其他科技方法製作或散布涉及真實人物實際未發生的行為舉止影像紀錄、動態圖像、錄音…」；「證券商提供電子式交易登入時，其安全設計應具有下列三項之任兩項以上技術…」"
"29","規範中定義的「復原時間目標（RTO）」與「資料復原點目標（RPO）」分別代表什麼意義？","RTO 是指中斷事故發生後，核心系統從中斷到回復至最小可接受服務水準的目標時間；RPO 是指中斷事故發生時，核心系統可承受的資料損失量所對應、可被回復的最近時間點。","中華民國證券商業同業公會資訊作業韌性自律規範","第二條第五款、第六款","「復原時間目標(Recovery Time Objective，RTO)：中斷事故發生後，核心系統從中斷事故發生到回復至最小可接受服務水準之目標時間。」、「資料復原點目標(Recovery Point Objective，RPO)：中斷事故發生時，核心系統可承受之資料損失量所…」"
"30","針對備份機制，規範建議考量的「3-2-1 備份原則」具體內容為何？","內容為：至少製作三份備份、分別存放於兩種不同儲存媒體、且至少一份異地保存。","中華民國證券商業同業公會資訊作業韌性自律規範","第五條第一款","「3-2-1備份原則」係指「(一)至少製作三份備份。(二)將備份分別存放在兩種不同儲存媒體。(三)至少一份放在異地保存。」"
"31","證券商在規劃備援機房時，對於地點與場所的選擇有何建議原則以降低風險？","異地備援機房之地點與場所，宜以與主機房不受同一災難或失效影響的地理位置為原則；另規劃時也要考量電力、空調、環境監控與告警等支援設施。","中華民國證券商業同業公會資訊作業韌性自律規範","第六條第一款、第三款","「規劃備援機房時應…考量支援設施包含電力供給、空調配置、環境監控與告警等配置。」、「異地備援機房地點與場所之選擇，宜考量與主機房非同一災難或失效影響之地理位置為原則。」"
"32","證券商應如何辦理資訊作業韌性的認知及能力訓練，其目標為何？","應就資訊作業韌性之任務編組人員，依所屬資安分級定期辦理資訊作業演練並留存紀錄。其目標在於提升任務編組人員對資訊作業韌性的認知與應變能力，確保發生中斷時能有效執行應變與復原。","中華民國證券商業同業公會資訊作業韌性自律規範","第八條","「證券商就資訊作業韌性之任務編組人員…應定期辦理資訊作業演練並留存紀錄。」"
"33","證券商在運用 AI 技術與客戶直接互動時，應如何落實「透明性」原則？","應告知客戶該互動或服務是由 AI 自動完成，或揭露其適用人群、場景或用途；並宜讓客戶自行選擇是否使用，同時提醒是否有替代方案。","中華民國證券商業同業公會證券商運用人工智慧技術自律規範","第十一條","「證券商運用人工智慧技術與客戶直接互動時，應告知該互動或服務係利用人工智慧技術自動完成，或揭露該互動或金融服務其適用之人群、場景或用途。另宜由客戶自行選擇是否使用，並提醒客戶該項服務有無替代方案…」"
"34","針對 AI 技術的「系統穩健性與安全性」，證券商在模型訓練階段應注意哪些事項？","應以風險為導向建立風險管理與定期檢視機制，並評估資料品質、模型品質、系統安全性、公平性、永續發展、透明性與可解釋性；若使用生成式 AI，對其產出資訊仍須由證券商自行評估與管控。","中華民國證券商業同業公會證券商運用人工智慧技術自律規範","第十三條","「評估的內容應包括資料品質、模型品質、系統安全性，以及公平性、永續發展、透明性及可解釋性等…」；「證券商運用生成式人工智慧，對於其產出之資訊，仍需由證券商就其風險進行評估與管控。」"
"35","根據規範，金融機構應如何管理物聯網設備的「初始密碼」？","應要求物聯網設備在使用前變更初始密碼；且密碼長度不得少於六位，建議採英數混合，並宜包含大小寫英文字母或符號。","金融機構使用物聯網設備安全控管規範","第五條","「設備應具備身分驗證機制，並應進行初始密碼變更，密碼長度不應少於六位，建議採英數字混合使用，且宜包含大小寫英文字母或符號…」"
"36","對於以無線方式連接網路的物聯網設備，規範要求應採取哪些綁定或加密機制？","應採用具有加密協定之無線存取點連線，並以網路卡卡號白名單等機制進行設備綁定。","金融機構使用物聯網設備安全控管規範","第六條","「設備以無線連接網路者，應採用具加密協定之無線存取點連接網路，並以網路卡卡號白名單等機制進行設備綁定。」"
"37","金融機構在執行「營運衝擊分析（BIA）」後，應產出哪些關鍵的分析結果？","應產出：核心業務之 MTPD、RTO、最小可接受服務水準、RPO；各核心資通系統之 RTO 與 RPO；核心業務之復原優先順序；滿足最小可接受服務水準所需資源及其解決方案。","金融機構資訊作業韌性規範","第六條","「應每年執行營運衝擊分析，並產出下列分析結果…」包括核心業務之「MTPD、RTO、最小可接受服務水準及RPO」、核心資通系統之「RTO、RPO」、復原優先順序與所需資源及解決方案。"
"38","針對核心資通系統供應商的營運持續計畫，金融機構應如何進行審查與風險評估？","應每年審查供應商營運持續計畫，評估其在天然災害、人為災害、資安事件、設備故障/變更、計畫性更換、產品生命週期結束等情境下，是否仍能滿足金融機構所訂 RTO/RPO。若能滿足，應保存審查紀錄；若不能滿足，應執行供應商營運中斷風險評估，並依結果採取風險處理措施或接受風險並取得核准。","金融機構資訊作業韌性規範","第十條","「應每年審查核心資通系統供應商…營運持續計畫內容…」；「若其營運持續計畫不能滿足…應執行核心資通系統供應商營運中斷風險評估，依評估結果擬訂對應之風險處理措施或接受風險並取得…核准。」"
"39","在「營運環境管理」方面，對於人員離調職時的權限處理有何時效性規定？","人員離調職時，應儘速移除權限。","金融機構資通安全防護基準","第四條第一款","「應建立人員之註冊、異動及撤銷註冊程序，用以配置適當之存取權限；人員離調職時應儘速移除權限。」"
"40","針對「連續假期」的資安防護，基準要求金融機構應評估並執行哪些事項？","應加強連續假期資安防護，至少包括：評估系統與電腦於連假期間是否有開機必要，無必要則關閉連線服務或電源；並評估連假後第一個營業日是否需提前到班，以確保核心資通系統及第一類電腦系統正常運作。","金融機構資通安全防護基準","第四條第七款","「應評估系統及電腦於連續假期開機必要性，如無必要則須關閉連線服務或電源。」、「應評估於連續假期結束後第一個營業日是否提前到班，以確保核心資通系統及第一類電腦系統正常運作。」"
"41","銀行在受理法人客戶申辦電子簽名時，對於「簽署人」的指派有何安全設計要求？","銀行應取得法人客戶書面同意指派簽署人；簽署人也可由法人客戶所指派之兩位以上授權人員以電子簽名向銀行指派，但不得出現任一授權人員與簽署人為同一人的情形。","金融機構使用電子簽名機制安全控管作業規範","第三條第二款、第三款","「銀行應取得法人客戶書面同意指派電子文件簽署人…簽署人亦得由法人客戶指派之兩位以上電子簽名授權人員…以電子簽名向銀行指派，惟…不得涉及任一授權人員與簽署人為同一人之情形。」"
"42","根據規範，電子簽名私鑰儲存於「客戶端」與儲存於「銀行端」在應用範圍上有何差異？","若簽名私鑰儲存於客戶端或銀行端（含第三方平台），可辦理申請指示類業務；若簽名私鑰係在客戶端產生並儲存於客戶端，則可辦理申請指示類及交易指示類業務。","金融機構使用電子簽名機制安全控管作業規範","第五條","「簽名私鑰儲存於客戶端或銀行端(含第三方平臺)者得辦理申請指示類業務。」、「簽名私鑰於客戶端產生並儲存於客戶端者得辦理申請指示類及交易指示類業務。」"
"43","行動應用程式（App）在偵測到行動裝置疑似遭破解（如 Root 或 Jailbreak）時，應採取哪些限制措施？","依上傳規範，App 應在偵測到裝置疑似遭破解時，主動通知使用者或關閉應用程式；另在證券/期貨新興科技規範中，也要求至少提示使用者注意風險。","金融機構提供行動裝置應用程式作業規範；證券/期貨新興科技資通安全自律規範相關檢測要求","4.1.5.5.1；第六條相關要求","「行動應用程式須偵測行動作業系統保護層是否有被破解(如：Root、Jailbreak)…如有，應主動通知使用者或關閉應用程式。」 ；「啟動行動應用程式時，如偵測行動裝置疑似遭破解…應提示使用者注意風險。」"
"44","針對 App 的「金鑰保護」，規範要求應採用哪些技術（如硬體安全元件或軟體保護技術）？","規範要求應增強 App 軟硬體防護機制以保護機敏資訊，包括：使用設備保護金鑰、保護記憶體參數與儲存檔案、防止設備被複製；並可採用如安全元件（Secure Element, SE）、**可信賴執行環境（TEE）**等安全技術。","金融機構辦理電子銀行業務安全控管作業基準（附錄中引用行動裝置應用程式規範）","附錄－信物管理/安全元件定義","「機敏資料保護機制：保護記憶體參數及儲存檔案、使用設備保護金鑰、防止設備被複製。」 ；「安全元件(Secure Element)…」與「可信賴執行環境(Trusted Execution Environment)…」"
"45","根據基準，電子銀行業務的交易指示如何區分為「高風險交易」與「低風險交易」？","依已上傳基準可直接支持的內容，電子銀行業務之交易指示係依風險等級區分為高風險與低風險交易，且首次申辦高風險交易之業務須經主管機關核准後實施；低風險交易則得在符合規定安全設計下辦理，部分情況可委由第三方驗證。","金融機構辦理電子銀行業務安全控管作業基準","各項業務適配之身分核驗安全設計","「首次申辦高風險交易之業務須經主管機關核准後實施。」；「金融機構委由第三方辦理數位身分驗證機制安全設計者僅限應用於…低風險交易」"
"46","針對「非約定轉帳交易」，基準對於透過網際網路辦理的低風險交易限額（每筆、每日、每月）有何規定？","透過網際網路辦理之低風險非約定轉帳交易，以每一帳戶每筆不超過等值新臺幣 5 萬元、每天累積不超過等值新臺幣 10 萬元、每月累積不超過等值新臺幣 20 萬元為限。","金融機構辦理電子銀行業務安全控管作業基準","非約定轉入帳戶轉帳交易規定","「透過網際網路之低風險交易，以每一帳戶每筆不超過等值新臺幣五萬元、每天累積不超過等值新臺幣十萬元、每月累積不超過等值新臺幣二十萬元為限。」"
"47","根據第二條，適用本規範的「資訊服務」具體包含哪三種服務形態？","包含 系統發展類、維運管理類及雲端服務類。","金融機構資通系統與服務供應鏈風險管理規範","第二條","「適用於本規範之資訊服務係指提供與電腦系統軟體或硬體有關之服務形態，包含系統發展類、維運管理類及雲端服務類。」"
"48","第四條規定，若委託開發項目涉及核心資通系統，其專案成員應有哪類專業人員參與以協助管理風險？","應有 資訊安全人員 參與。","金融機構資通系統與服務供應鏈風險管理規範","第四條第二款","「委外開發項目如有下列情形者，其專案成員應有資訊安全人員參與，以協助管理資訊安全風險： (一)屬核心資通系統與第一類電腦系統。」"
"49","規範中對於「平台即服務 (PaaS)」的定義為何？承租人對作業系統擁有何種程度的掌控權？","PaaS 是雲端服務業者提供作業系統使用，承租人可在該作業系統上操作自己的軟體；承租人可掌控運作軟體的環境，並擁有作業系統部分掌控權，但並不掌控作業系統本身與硬體。","金融機構運用新興科技作業規範","第二條第一款第（二）目","「平台即服務（PaaS）：雲端服務業者提供作業系統使用，承租人能於此作業系統操作其軟體，可掌控運作軟體的環境也擁有作業系統部分掌控權，但並不掌控作業系統、硬體。」"
"50","金融機構委託雲端服務業者處理客戶資料時，若儲存地位於境外，對於當地資料保護法規有何要求？","要求 境外當地資料保護法規不得低於我國要求。","金融機構運用新興科技作業規範","第二條第十一款第（二）目","「委託雲端服務業者處理之客戶資料及其儲存地以位於我國境內為原則，如位於境外，應依下列規定辦理：…(二) 境外當地資料保護法規不得低於我國要求。」"
"51","根據第五條，新採購的 ATM 吐鈔模組與控制主機間的通訊指令應具備什麼樣的保護與授權機制？","新採購的 ATM，其吐鈔模組與 ATM 控制主機間的通訊指令，應受保護並具有授權機制，以防止植入未經授權程式、竄改指令或竄改韌體。","金融機構提供自動櫃員機系統安全作業規範","第五條第六款","「本款規定公布後新採購之 ATM，其吐鈔模組與 ATM 控制主機間之通訊指令應受保護並具有授權機制，以防止植入未經授權程式、竄改指令或竄改韌體。」"
"52","採用 IP 連線之 ATM，若作業系統原廠已不再提供安全更新，金融機構在汰換期間應採取哪些補強措施？","應先提出汰換計畫並提報董（理）事會或其授權經理部門核定；在未完成汰換期間，應採取補強措施，例如：採用具 Virtual Patching 功能之 WAF 或 IPS，或採網段隔離機制並限制同網段主機間連線及資源存取，且應儘速完成補強措施或汰換，以防範已知資安漏洞。","金融機構提供自動櫃員機系統安全作業規範","第八條","「採用 IP 連線之 ATM，若該設備之作業系統原廠已不再提供安全更新者，金融機構應提出汰換計畫，並提報董(理)事會或經其授權之經理部門核定，未汰換期間應有補強措施(如採用具 Virtual Patching 功能之 WAF 或 IPS、或採網段隔離機制並限制同網段主機間連線及資源存取)，且應儘速完成補強措施或汰換，以防範已知資安漏洞。」"
"53","根據第六條，在處理 AI 不公正或偏見問題時，應評估哪些個人生理特徵參數是否納入演算法判斷？","應評估是否納入演算法判斷的資料參數包括：姓名、國籍、族群、出生地或居住所、年齡，以及所有生理特徵；生理特徵包含但不限於身高、體重、性別、膚色、髮量、肢體障礙等，另也包括所有非涉及心神喪失致無法自主理解該金融商品判斷能力之疾病。","金融機構運用人工智慧技術作業規範","第六條第二項","「以下資料參數應評估是否納入演算法判斷，如: 姓名、國籍、族群、出生地或居住所、年齡、所有生理特徵（包含且不限於身高、體重、性別、膚色、髮量、肢體障礙等）、所有非涉及心神喪失致無法自主理解該金融商品判斷能力之疾病…」"
"54","金融機構運用 AI 技術與消費者互動時，應如何告知消費者該服務的性質，並提供何種選擇權？","應告知該互動或服務是利用 AI 技術自動完成，或揭露其適用的人群、場合、用途；並宜由消費者自行選擇是否使用，且提醒是否有替代方案。","金融機構運用人工智慧技術作業規範","第十一條","「金融機構運用人工智慧技術與消費者互動時，應告知該互動或服務係利用上開技術自動完成，或揭露該互動或自動化金融服務適用的人群、場合、用途。另宜由消費者自行選擇是否使用，並提醒消費者該項服務有無替代方案。」"
"55","根據第二條，保險業經營的「行動服務」具體包含哪四項業務？","包含 行動投保服務、行動保全服務、行動理賠服務及行動房貸服務。","保險業經營行動服務自律規範","第二條","「本自律規範所稱行動服務（下稱本服務），包含行動投保服務、行動保全服務、行動理賠服務及行動房貸服務。」"
"56","業務員若因不當招攬受停止招攬處分達六個月以上，在其恢復登錄後的半年內，對其辦理行動服務有何限制？","自停止招攬處分期滿或撤銷登錄後重新登錄之日起六個月內，得暫停其辦理行動投保及涉及契約權利義務變動之行動保全等服務之權限。","保險業經營行動服務自律規範","第四條第三項","「各會員對所屬業務員因有不當招攬行為受停止招攬六個月(含)以上之處分者，自該業務員停止招攬處分期間屆滿或撤銷登錄後重新登錄之日起六個月內，得暫停其辦理行動投保及涉及契約權利義務變動之行動保全等服務之權限。」"
"57","根據第九條，消費者取得帳號密碼後，若超過多久時間未再辦理網路投保或保險服務，則該帳號需重新驗證？","若自申請完成後 五年內 都未再與該保險業辦理網路投保或網路保險服務，則必須重新完成身分驗證後，才能再使用該帳號密碼。","保險業經營電子商務自律規範","第九條","「消費者經完成前二條身分驗證作業而取得帳號密碼後，如於申請完成後五年之期間內並未再與該保險業辦理網路投保業務或網路保險服務者…非經重新完成前述身分驗證，不得再利用該帳號密碼進行網路投保或網路保險服務。」"
"58","第十九條規定，對於未經消費者授權之交易所產生的爭議，保險業與消費者的責任歸屬原則為何？","原則上，除非消費者有故意或重大過失，否則未經授權之交易由消費者不負責任；保險業並應協調合作金融機構協助處理爭議。","保險業經營電子商務自律規範","第十九條","「保險業應協調合作之金融機構採取適當措施，協助消費者解決…消費爭議。未經消費者授權之交易，除消費者有故意或重大過失者外，消費者不須負擔責任。」"
"59","根據第四條，員工職務異動或離職時，應依據何種程序處理其資訊資產與存取權限？","應依公司既定程序辦理資訊資產退回，並辦理存取權限之變更或取消。","保險業辦理資訊安全防護自律規範","第四條第五款","「員工職務異動時，應依既定程序辦理資訊資產退回與存取權限之變更或取消。」"
"60","對於第一類及第二類電腦系統的權限配發，應遵循哪兩項核心原則（Least Privilege 與 Need-to-know）？","目前在已上傳保險業規範中，可明確找到的是最小權限原則；但「Need-to-know（知悉必要）」在目前可檢索內容中未找到明文。因此可確認的答案是：應遵循最小權限原則；至於「知悉必要原則」目前無法以現有檔案直接證實。","保險業辦理資訊安全防護自律規範／附件四","附件四第五點","「…並以最小權限原則針對不同的使用者身分進行授權…」"
"61","委託專業機構辦理 App 資安檢測時，應參考哪兩個主要的資安檢測基準？","應參考 經濟部工業局「行動應用 APP 基本資安檢測基準」 與 OWASP 公布之 Mobile Top 10 項目。","附件二：保險業提供行動應用程式（App）作業原則","第五點第一款第一目","「委託專業機構辦理資安檢測時，參考經濟部工業局『行動應用 APP 基本資安檢測基準』及 OWASP 公布之 Mobile Top 10 項目。」"
"62","針對第一類 App，若偵測到行動裝置疑似遭破解（如 Root 或 Jailbreak），系統應如何提示使用者？","應提示使用者注意風險。","附件二：保險業提供行動應用程式（App）作業原則","第七點","「啟動應用程式時，如偵測行動裝置疑似遭破解，應提示使用者注意風險。」"
