問題,標準答案,LLM答案,LLM答案路徑
在辦理開戶手續時，業務人員應向委託人說明哪些重要內容以落實風險預告程序？,應說明期貨商品之性質、交易條件、可能面臨之風險；並詳盡告知追加保證金通知方式、追繳時限、代為沖銷時點與方式、損害賠償責任歸屬、交易糾紛處理方式、違約客戶認定標準等。,"在辦理開戶手續時，業務人員應向委託人說明以下重要內容以落實風險預告程序：

1. 各種期貨商品的性質。
2. 交易條件。
3. 可能面臨的各項風險。","2.FCM內控CA---壹、業務及收入循環 ---114.04.md |  | p.None-None | table_chunk | table_id=2.FCM內控CA---壹、業務及收入循環 ---114.04_table_1,row=1,col=3,chunk=1 || 2.FCM內控CA---壹、業務及收入循環 ---114.04.md |  | p.None-None | table_chunk | table_id=2.FCM內控CA---壹、業務及收入循環 ---114.04_table_68,row=1,col=3,chunk=2 || 2.FCM內控CA---壹、業務及收入循環 ---114.04.md |  | p.None-None | table_chunk | table_id=2.FCM內控CA---壹、業務及收入循環 ---114.04_table_22,row=1,col=3,chunk=4"
針對高齡客戶（年滿 65 歲）提供金融服務時，期貨商應建立哪些特殊的交易監控或強化機制？,應依高齡客戶金融服務自律規則建立較高風險客戶之監控與強化持續監督機制，包括以風險基礎方法建立帳戶與交易監控政策、參數與預警處理程序，並對高風險客戶加強持續監督。,針對高齡客戶（年滿65歲）提供金融服務時，期貨商應建立適用高齡客戶的交易監控機制及加強查核機制，以早期識別異常交易。公司還需為高齡客戶設計風險屬性評估機制，有效評估該客戶是否具有弱點及其財務特性。,"2.FCM內控CA---壹、業務及收入循環 ---114.04.md |  | p.None-None | table_chunk | table_id=2.FCM內控CA---壹、業務及收入循環 ---114.04_table_60,row=1,col=3,chunk=6 || 2.FCM內控CA---壹、業務及收入循環 ---114.04.md |  | p.None-None | table_chunk | table_id=2.FCM內控CA---壹、業務及收入循環 ---114.04_table_60,row=1,col=2,chunk=1 || 2.FCM內控CA---壹、業務及收入循環 ---114.04.md |  | p.None-None | table_chunk | table_id=2.FCM內控CA---壹、業務及收入循環 ---114.04_table_60,row=1,col=3,chunk=1"
在採購付款作業中，採購、驗收、會計與出納單位的職能應如何配置以維持獨立性？,這四類單位之人員與作業應各自獨立，不得混同辦理。,"在採購付款作業中，為維持各單位之間的獨立性，建議將以下職能配置給不同的單位：

- **採購單位**：負責填寫請(訂)購單，包括申請單位、需求品名、規格、數量及品質要求等資訊。
- **驗收單位**：負責核實採購物品是否符合要求，確認無誤後進行驗收。
- **會計單位**：負責審查採購及驗收環節的正確性與合法性，並進行入帳處理。
- **出納單位**：負責保管現金和其他付款工具（如支票），並在完成所有程序後進行實際付款。

各單位之間應保持獨立，避免混用人員或業務流程的串聯。","3.FCM內控CP ---貳、採購及付款循環 ---114.04.md |  | p.None-None | table_chunk | table_id=3.FCM內控CP ---貳、採購及付款循環 ---114.04_table_1,row=1,col=3,chunk=2 || 3.FCM內控CP ---貳、採購及付款循環 ---114.04.md |  | p.None-None | table_chunk | table_id=3.FCM內控CP ---貳、採購及付款循環 ---114.04_table_1,row=1,col=2,chunk=1 || 3.FCM內控CP ---貳、採購及付款循環 ---114.04.md |  | p.None-None | table_chunk | table_id=3.FCM內控CP ---貳、採購及付款循環 ---114.04_table_2,row=1,col=2,chunk=1"
零用金管理作業中，對於零用金的設立目的與經管人員的職責有何規範？,零用金應作為小額、零星支出之便捷支付用途；經管人員應專責保管、依規定核銷、定期補足並留存紀錄，不得與一般採購付款程序混同。,"零用金的設立目的是為了應付零星購置或緊急小額支付的情況。對於零用金的管理，需要由不同人員來擔任經管與會計工作以確保控制的有效性。具體來說：

1. 定額零用金的目的主要是應對零星購置或緊急小額支付的需求，且應該指定專人負責保管、運用和報銷。
2. 提款人員需要填寫付款證明單據並附上相關憑證（無憑證時需詳細注明未取得收據的理由），獲得權責主管的批准後，在公司規定的金額內向經管人員領取零用金。

以上規範是由參考資料3提供的具體細節，而沒有其他相關的詳細資訊。","3.FCM內控CP ---貳、採購及付款循環 ---114.04.md |  | p.None-None | table_chunk | table_id=3.FCM內控CP ---貳、採購及付款循環 ---114.04_table_5,row=1,col=2,chunk=1 || 3.FCM內控CP ---貳、採購及付款循環 ---114.04.md |  | p.None-None | table_chunk | table_id=3.FCM內控CP ---貳、採購及付款循環 ---114.04_table_5,row=1,col=3,chunk=4 || 3.FCM內控CP ---貳、採購及付款循環 ---114.04.md |  | p.None-None | table_chunk | table_id=3.FCM內控CP ---貳、採購及付款循環 ---114.04_table_5,row=1,col=3,chunk=1"
根據薪工循環規範，期貨商的內部稽核人員應具備何種專業資格？,內部稽核人員應具備期貨商負責人及業務員管理規則所定資格條件；若為分支機構自行查核人員，並應完成相關內部稽核講習。,根據提供的參考資料，期貨商的內部稽核人員應具備期貨業務員資格。但並未特別規定必須具備其他特定專業資格，除非公司在每年底申報年度稽核計畫時，需敘明總分支機構內部稽核人員安排及作業方式。因此，沒有足夠的資料來回答除了期貨業務員資格外還有哪些專業資格要求。,"2.FCM內控CA---壹、業務及收入循環 ---114.04.md |  | p.None-None | table_chunk | table_id=2.FCM內控CA---壹、業務及收入循環 ---114.04_table_102,row=1,col=3,chunk=7 || 2.FCM內控CA---壹、業務及收入循環 ---114.04.md |  | p.None-None | table_chunk | table_id=2.FCM內控CA---壹、業務及收入循環 ---114.04_table_103,row=1,col=3,chunk=1 || 財團法人中華民國證券櫃檯買賣中心證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法1090120.md |  | p.None-None | table_chunk | table_id=財團法人中華民國證券櫃檯買賣中心證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法1090120_table_5,row=2,col=1,chunk=3"
在訂定業務人員的酬金制度時，應衡平考量哪些因素，且不得僅考量何種情形？,應衡平考量客戶權益與金融商品或服務對公司及客戶可能產生的各項風險；不得僅考量業績目標達成情形。,"在訂定業務人員的酬金制度時，應衡平考量的因素包括客戶權益和金融商品或服務對公司及客戶可能產生的各項風險。不得僅考量金融商品或服務的業績目標達成情形。

此外，還需遵循《會員公司業務人員酬金制度應遵行原則》之規定，特別是關於年終獎金應按月估列的部分。同时，业务人员的酬金制度还需要被提报董事会通过。","4.FCM內控CW---參 、薪工循環---114.04.md |  | p.None-None | table_chunk | table_id=4.FCM內控CW---參 、薪工循環---114.04_table_9,row=1,col=3,chunk=4 || 4.FCM內控CW---參 、薪工循環---114.04.md |  | p.None-None | table_chunk | table_id=4.FCM內控CW---參 、薪工循環---114.04_table_9,row=1,col=3,chunk=3 || 4.FCM內控CW---參 、薪工循環---114.04.md |  | p.None-None | table_chunk | table_id=4.FCM內控CW---參 、薪工循環---114.04_table_9,row=1,col=2,chunk=1"
期貨商辦理增（減）資案時，其作業程序應向哪個主管機關申報生效？,應依規定向主管機關申報生效。,根據提供的參考資料，期貨商辦理增（減）資案時，其作業程序應向期貨公會申報生效。,"9.FCM內控CM---捌、管理控制制度---114.04.md |  | p.None-None | table_chunk | table_id=9.FCM內控CM---捌、管理控制制度---114.04_table_11,row=1,col=3,chunk=6 || 2.FCM內控CA---壹、業務及收入循環 ---114.04.md |  | p.None-None | table_chunk | table_id=2.FCM內控CA---壹、業務及收入循環 ---114.04_table_201,row=1,col=3,chunk=7 || 2.FCM內控CA---壹、業務及收入循環 ---114.04.md |  | p.None-None | table_chunk | table_id=2.FCM內控CA---壹、業務及收入循環 ---114.04_table_56,row=1,col=3,chunk=7"
根據規範，期貨商提存「特別盈餘公積」的比例為何？其用途有何限制？,應於每年稅後盈餘項下提存20% 特別盈餘公積；除填補公司虧損，或累積已達實收資本額 25% 時，得以超過 25% 之部分撥充資本外，不得使用。,"根據參考資料，特別盈餘公積的比例是每年稅後盈餘項下提存20%。然而，如果累積額已達實收資本額，則可以免繼續提列。

特別盈餘公積的用途沒有明確限制在文中提及，僅有提到其可能用於因應金融科技發展、保障公司從業人員權益的情況下，會在分派會計年度盈餘時，以稅後淨利的0.5%至1%範圍內提列。自2018年財務年度起，不再有此要求。","5.FCM內控CR---肆、融資循環---114.04.md |  | p.None-None | table_chunk | table_id=5.FCM內控CR---肆、融資循環---114.04_table_1,row=1,col=3,chunk=4 || 5.FCM內控CR---肆、融資循環---114.04.md |  | p.None-None | table_chunk | table_id=5.FCM內控CR---肆、融資循環---114.04_table_2,row=1,col=3,chunk=1 || 5.FCM內控CR---肆、融資循環---114.04.md |  | p.None-None | table_chunk | table_id=5.FCM內控CR---肆、融資循環---114.04_table_1,row=1,col=3,chunk=3"
取得或增添不動產及設備時，若對公司營運有重大影響，其決策程序有何特別要求？,若對公司營運有重大影響，應依公司法第185條辦理，由有三分之二以上董事出席之董事會，以出席董事過半數決議提出，並經代表已發行股份總數三分之二股東出席之股東會，以出席股東表決權過半數同意。,"根據提供的參考資料，如果不動產及設備的取得或增添對公司營運有重大影響，其決策程序特別要求如下：

1. 应依據增置財產計劃編製預算。
2. 按照預算執行此項作業。
3. 在採購和付款時，需遵循相關作業程序（請參閱CP-20000採購及付款循環）。

因此，對公司營運有重大影響的不動產及設備取得或增添，需要特別注意以上三個步驟。","6.FCM內控CF---伍、不動產及設備循環---114.04.md |  | p.None-None | table_chunk | table_id=6.FCM內控CF---伍、不動產及設備循環---114.04_table_2,row=1,col=2,chunk=1 || 6.FCM內控CF---伍、不動產及設備循環---114.04.md |  | p.None-None | table_chunk | table_id=6.FCM內控CF---伍、不動產及設備循環---114.04_table_1,row=1,col=2,chunk=1 || 6.FCM內控CF---伍、不動產及設備循環---114.04.md |  | p.None-None | table_chunk | table_id=6.FCM內控CF---伍、不動產及設備循環---114.04_table_1,row=1,col=3,chunk=1"
針對不動產及設備的盤點作業，規範要求應如何執行並呈報結果？,規範要求公司應在財產管理規章中明定盤點程序，內容至少包括盤點程序、盤點表單及結果處理程序；也就是應依既定程序執行盤點、填具表單，並就盤點結果進行後續處理與管理。,"針對不動產及設備的盤點作業，規範要求如下並呈報結果：

根據參考資料1和2，規範指出：
- 不動產及設備的監控與記錄工作需定期進行（詳細內容未提供）。
- 需要不定期按照預定的盤點程序對不動產及設備進行盤點並將結果呈交主管審核。
- 如發現不動產及設備遭受有人為故意損壞或遺失的情況，保管單位應調查並將處理報告呈交主管審核。

總結來說，執行此作業時需要依照規定的程序進行盤點，並將結果和處理報告呈報給權責主管。","6.FCM內控CF---伍、不動產及設備循環---114.04.md |  | p.None-None | table_chunk | table_id=6.FCM內控CF---伍、不動產及設備循環---114.04_table_4,row=1,col=2,chunk=1 || 6.FCM內控CF---伍、不動產及設備循環---114.04.md |  | p.None-None | table_chunk | table_id=6.FCM內控CF---伍、不動產及設備循環---114.04_table_4,row=1,col=3,chunk=4 || 金融機構資訊系統安全基準.md |  | p.None-None | table_chunk | table_id=金融機構資訊系統安全基準_table_11,row=19,col=4,chunk=1"
根據期貨商管理規則，期貨商自有資金的運用範圍主要限於哪些項目？,限於：銀行存款、購買政府債券或金融債券、購買國庫券/可轉讓定存單/商業票據或其他經主管機關核定之短期票券、以及其他經主管機關核准之用途。,"根據參考資料1中的內容，期貨商自有資金的運用範圍主要包括以下項目：

1. 銀行存款
2. 購買政府債券或金融債券
3. 購買國庫券、可轉讓的銀行定存單、商業票據或其他經主管機關核定之短期票券
4. 其他經主管機關核准之用途

因此，期貨商自有資金主要運用於上述四項。","7.FCM內控CI---陸、投資循環---114.04.md |  | p.None-None | table_chunk | table_id=7.FCM內控CI---陸、投資循環---114.04_table_1,row=1,col=3,chunk=1 || 財團法人中華民國證券櫃檯買賣中心證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法1090120.md |  | p.None-None | table_chunk | table_id=財團法人中華民國證券櫃檯買賣中心證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法1090120_table_7,row=6,col=2,chunk=1 || 7.FCM內控CI---陸、投資循環---114.04.md |  | p.None-None | table_chunk | table_id=7.FCM內控CI---陸、投資循環---114.04_table_11,row=1,col=3,chunk=1"
在進行重大長短期股權投資決策前，公司應成立什麼組織來進行可行性評估研究？,應先成立投資評估小組，針對投資企劃部門初步選定之投資組合或項目進行投資評估研究。,在進行重大長短期股權投資決策前，公司應該成立「投資評估小組」來進行可行性評估研究。,"7.FCM內控CI---陸、投資循環---114.04.md |  | p.None-None | table_chunk | table_id=7.FCM內控CI---陸、投資循環---114.04_table_1,row=1,col=3,chunk=3 || 7.FCM內控CI---陸、投資循環---114.04.md |  | p.None-None | table_chunk | table_id=7.FCM內控CI---陸、投資循環---114.04_table_1,row=1,col=3,chunk=2 || 7.FCM內控CI---陸、投資循環---114.04.md |  | p.None-None | table_chunk | table_id=7.FCM內控CI---陸、投資循環---114.04_table_1,row=1,col=3,chunk=4"
針對「資訊安全政策」，規範要求公司應至少多久評估一次？,應至少每年評估一次，以反映法令、技術及業務最新發展，並留存相關紀錄。,根據提供的參考資料，對於「信息安全政策」的要求是每三年至少進行一次評估。,"保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 ).md | 23.10.1.2 | p.10-11 | table_chunk | table_id=保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 )_table_1,row=3,col=3,chunk=1 || 保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 ).md | 23.10.1.2 | p.10-11 | table_chunk | table_id=保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 )_table_1,row=2,col=3,chunk=1 || 保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 ).md | 23.10.1.2 | p.10-11 | table_chunk | table_id=保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 )_table_1,row=1,col=3,chunk=1"
在電腦作業系統環境設定中，對於「使用者密碼」的管理（如長度、更新期限）有哪些具體要求？,依你們目前上傳檔案，可明確支持的是：公司應建立電腦系統安全管理制度，並對使用者密碼進行管理。至於「長度、更新期限」這題，這批已上傳的期貨商內控 PDF 搜得到的是政策性要求，未直接顯示具體數字門檻；因此較保守的標準答案是：應建立密碼管理機制，對密碼設定、使用與維護進行控管，確保資訊安全。,"根據參考資料提供的信息，對於「使用者密碼」的管理具體要求如下：

- 密碼長度至少為12碼，複雜度較高；
- 需要定期更新密碼（至少每三個月一次）；
- 必須確保新舊密碼不同；
- 不同用戶需遵循相同的密碼更新周期。

至於特定於「使用者密碼」的長度或更新期限方面，資料未提供具體要求。","8.FCM內控CC---柒、電腦作業與資訊提供---114.04.md |  | p.None-None | table_chunk | table_id=8.FCM內控CC---柒、電腦作業與資訊提供---114.04_table_19,row=1,col=3,chunk=6 || 建立證券商資通安全檢查機制.md | 8、 > （3） > f. | p.9-9 | leaf | context=8、 > （3） > f. || 金融機構資通安全防護基準.md | 第四條 > 七、 > (一) | p.2-2 | leaf | context=第四條 > 七、 > (一)"
在印鑑使用管理中，對於公務文書有數頁者，應採取什麼措施以防抽換？,應於各頁加蓋騎縫章，以防文件遭抽換。,在同一案件的公務文書有數頁者，應在各頁加蓋騎縫章，以防止抽換。,"9.FCM內控CM---捌、管理控制制度---114.04.md |  | p.None-None | table_chunk | table_id=9.FCM內控CM---捌、管理控制制度---114.04_table_1,row=1,col=2,chunk=1 || 9.FCM內控CM---捌、管理控制制度---114.04.md |  | p.None-None | table_chunk | table_id=9.FCM內控CM---捌、管理控制制度---114.04_table_1,row=1,col=3,chunk=3 || 金融機構辦理電子銀行業務安全控管作業基準含附錄1150107.md | 12.83 | p.66-69 | table_chunk | table_id=金融機構辦理電子銀行業務安全控管作業基準含附錄1150107_table_36,row=1,col=3,chunk=5"
針對「關係人交易之管理」，公司應如何辨識關係人並確保交易符合公平合理原則？,公司應依IAS 24 與期貨商財務報告編製準則明確定義關係人、建檔控管並定期評估增減；對關係企業或關係人交易，應本於公平合理原則訂定書面規範，明定價格條件與支付方式，杜絕非常規交易與利益輸送。,"針對「關係人交易之管理」，公司應該：

1. 根據國際會計準則第二十四號規定和期貨商財務報告編製準則相關規定，明確定義何謂關係人。

2. 將已識別的關係人進行建檔並實行控制管轄。

3. 定期評估關係人的有無變化，以確保資料更新及有效管理。

4. 針對被識別為關係人的公司及其人員在交易中遵循公平合理原則，避免利益衝突和不正當行為。

5. 建立內部審查機制，定期檢查相關的交易記錄，確保其符合公司規定和監管要求。","9.FCM內控CM---捌、管理控制制度---114.04.md |  | p.None-None | table_chunk | table_id=9.FCM內控CM---捌、管理控制制度---114.04_table_36,row=1,col=2,chunk=1 || 9.FCM內控CM---捌、管理控制制度---114.04.md |  | p.None-None | table_chunk | table_id=9.FCM內控CM---捌、管理控制制度---114.04_table_35,row=1,col=2,chunk=1 || 9.FCM內控CM---捌、管理控制制度---114.04.md |  | p.None-None | table_chunk | table_id=9.FCM內控CM---捌、管理控制制度---114.04_table_35,row=1,col=3,chunk=1"
根據此規範，證券商提供的「電子式交易登入」安全設計應具備哪三項技術中之任兩項？,三項技術為：(1) 證券商與客戶約定、且無第三人知悉之資訊（如固定密碼、圖形鎖、手勢）；(2) 客戶持有之實體設備（如密碼卡、晶片卡、電腦、行動裝置、憑證載具等）；(3) 客戶所擁有之生物特徵（如指紋、臉部、虹膜、聲音、掌紋、靜脈、簽名等）。系統需具備上述任兩項以上。,"證券商提供的「電子式交易登入」安全設計應具備以下三項技術中的任兩項：

1. 證券商所約定的資訊，且無第三人知悉（如固定密碼、圖形鎖或手勢等）。

2. 客戶所持有之實體設備（如密碼產生器、密碼卡、晶片卡、電腦、行動裝置、憑證載具等），證券商應確認該設備為客戶與證券商約定持有之設備。","1110921新興科技資通安全自律規範及修正對照表.md | 第九條 > 一、 | p.4-4 | leaf | context=第九條 > 一、 || 1110921新興科技資通安全自律規範及修正對照表.md | 第九條 > 二、 | p.4-4 | leaf | context=第九條 > 二、 || 1110921新興科技資通安全自律規範及修正對照表.md | 12 | p.5-22 | table_chunk | table_id=1110921新興科技資通安全自律規範及修正對照表_table_19,row=2,col=1,chunk=1"
針對「深度偽造（Deepfake）」之防範，證券商在進行影像視訊身分驗證時應如何強化？,依目前上傳檔案可直接支持的內容，規範先明確定義 Deepfake 為以科技合成真實人物未實際發生之影像、聲音等內容；因此在影像視訊驗證上，應採取較高強度的身分驗證與來源辨識措施，避免僅憑單一影像資料判斷，並搭配電子式交易驗證控管。這一題在已上傳檔案中較偏原則性，而非列出單一固定流程。,"針對「深度偽造」之防範，證券商在進行影像視訊身分驗證時，應考慮以下措施：

1. **使用影像視訊方式進行身分驗證時應強化驗證**：證券商需定期舉辦涵蓋深度偽造認知及防範議題的安全教育訓練。
2. **搭配其他驗證因子**：例如上傳身分證件、手機簡訊 OTP 等，以提升驗證的完整性和安全性。","1110921新興科技資通安全自律規範及修正對照表.md | 第十條 | p.5-5 | leaf | context=第十條 || 1110921新興科技資通安全自律規範及修正對照表.md | 12 | p.5-22 | table_chunk | table_id=1110921新興科技資通安全自律規範及修正對照表_table_21,row=1,col=1,chunk=1 || 建立證券商資通安全檢查機制.md | 12、 > （6） > a. | p.17-17 | leaf | context=12、 > （6） > a."
